tender_id,tender_name,start_price,tender_security,advance_money,currency,publication_date,selection_phase,legislation,url,procedure,for_small_business,customer_region_code,customer_region,customer_name,customer_inn,winner_name,winner_inn,final_price
0148200005420000232,"Строительство очистных сооружений г. Шатура, ул. Малькина Грива",883080012.00,44154000.60,50.00%,RUB,2020-07-10 13:39:44,Признана несостоявшейся,44-ФЗ,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0148200005420000232,Электронный аукцион,FALSE,50,Московская область,Администрация Городского Округа Шатура Московской обл.,5049003330,,,
0139300007520000099,Реконструкция очистных сооружений пгт.Шерегеш,1058864395.80,52943219.79,10.00%,RUB,2020-07-03 13:55:09,Признана несостоявшейся,44-ФЗ,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0139300007520000099,Электронный аукцион,FALSE,42,Кемеровская область,Администрация Муниципального Образования «Таштагольский Муниципальный Район»,4228004722,,,
0139300007520000089,Реконструкция очистных сооружений пгт.Шерегеш,1058864395.80,52943219.79,10.00%,RUB,2020-06-03 14:10:36,Признана несостоявшейся,44-ФЗ,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0139300007520000089,Электронный аукцион,FALSE,42,Кемеровская область,Администрация Муниципального Образования «Таштагольский Муниципальный Район»,4228004722,,,
0145200000420000637,"Строительство объекта: «Объект начального и среднего образования (с расчетной вместимостью не менее 640 мест): Ленинградская область, Ломоносовский муниципальный район, Виллозское городское поселение, поселок Новогорелово, участок 60». Кадастровый номер 47:14:0603001:7843",562425769.65,28121288.48,10.00%,RUB,2020-04-09 19:43:50,Признана несостоявшейся,44-ФЗ,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0145200000420000637,Электронный аукцион,FALSE,47,Ленинградская область,Администрация Муниципального Образования Ломоносовский Муниципальный Район Ленинградской обл.,4720007053,,,
0145200000420000374,"Строительство объекта: «Объект начального и среднего образования (с расчетной вместимостью не менее 640 мест): Ленинградская область, Ломоносовский муниципальный район, Виллозское городское поселение, поселок Новогорелово, участок 60». Кадастровый номер 47:14:0603001:7843",562425769.65,28121288.48,10.00%,RUB,2020-03-12 16:56:49,Признана несостоявшейся,44-ФЗ,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0145200000420000374,Электронный аукцион,FALSE,47,Ленинградская область,Администрация Муниципального Образования Ломоносовский Муниципальный Район Ленинградской обл.,4720007053,,,
0145200000420000927,"Строительство объекта: Строительство муниципального образовательного учреждения на 450 мест в д. Малое Карлино Ломоносовского района по адресу: Ленинградская область, Ломоносовский муниципальный район, Виллозского сельское поселения, д.Малое Карлино, д.5",524831340.81,5248313.40,10.00%,RUB,2020-05-25 14:25:21,Завершена,44-ФЗ,https://zakupki.gov.ru/epz/order/notice/zp504/view/common-info.html?regNumber=0145200000420000927,Запрос предложений в электронной форме,FALSE,47,Ленинградская область,Администрация Муниципального Образования Ломоносовский Муниципальный Район Ленинградской обл.,4720007053,ООО «Стройотделсервис»,7802158002,524726374.54
0145200000420000496,"Строительство объекта: Строительство муниципального образовательного учреждения на 450 мест в д. Малое Карлино Ломоносовского района по адресу: Ленинградская область, Ломоносовский муниципальный район, Виллозского сельское поселения, д.Малое Карлино, д.5",524831340.81,5248313.40,10.00%,RUB,2020-03-25 15:13:55,Признана несостоявшейся,44-ФЗ,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0145200000420000496,Электронный аукцион,FALSE,47,Ленинградская область,Администрация Муниципального Образования Ломоносовский Муниципальный Район Ленинградской обл.,4720007053,,,
0134200000121000543,"Выполнение работ по объекту «Строительство городского водозаборного сооружения на левом берегу р. Уда, г. Нижнеудинск»",699350469.18,6993504.69,30.00%,RUB,2021-02-20 13:46:14,Признана несостоявшейся,44-ФЗ,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0134200000121000543,Электронный аукцион,FALSE,38,Иркутская область,Администрация Нижнеудинского Муниципального Образования,3813002056,,,
0148200005420000265,"Закупка на выполнение полного комплекса работ по строительству и оснащению объекта: ""Многофункциональный образовательный комплекс"" по адресу: Московская область, Одинцовский район, вблизи д. Раздоры, в том числе работы по выносу существующих инженерных сетей из пятна застройки",5552000400.17,277600020.01,8.10%,RUB,2020-08-07 21:07:56,Признана несостоявшейся,44-ФЗ,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0148200005420000265,Электронный аукцион,FALSE,50,Московская область,Администрация Одинцовского Городского Округа Московской обл.,5032004222,,,
0148200005420000279,"Закупка услуг по рекультивации полигона ТКО «Часцы», расположенного на территории Одинцовского городского округа Московской области",3011484800.00,30114848.00,30.00%,RUB,2020-08-17 14:21:13,Завершена,44-ФЗ,https://zakupki.gov.ru/epz/order/notice/ok504/view/common-info.html?regNumber=0148200005420000279,Открытый конкурс в электронной форме,FALSE,50,Московская область,Администрация Одинцовского Городского Округа Московской обл.,5032004222,АО «Монолитное Строительное Управление-1»,7745000111,2921140256.00
0169300005021000004,"Выполнение работ по строительству объекта «Общеобразовательная школа на 1100 учащихся» по адресу: Челябинская область, Сосновский муниципальный район, Кременкульское сельское поселение»",777274887.00,7772748.87,10.00%,RUB,2021-02-02 7:12:33,Признана несостоявшейся,44-ФЗ,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0169300005021000004,Электронный аукцион,FALSE,74,Челябинская область,Администрация Сосновского Муниципального Района,7438002100,,,
2068700001620000017,"Выполнение работ по объекту: ""Техническое перевооружение и реконструкция заготовительных производств, гальваник для изготовления тяжелого военно-транспортного самолета Ил-76МД-90А, 1 этап на Закрытом акционерном обществе ""Авиастар-СП"" г. Ульяновск""",1816170444.71,90808522.24,15.00%,RUB,2020-12-09 17:27:12,Признана несостоявшейся,44-ФЗ,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=2068700001620000017,Электронный аукцион,FALSE,73,Ульяновская область,АО «Авиастар-СП»,7328032711,,,
2068700001620000016,"Выполнение работ по объекту: ""Реконструкция и техническое перевооружение производства для изготовления деталей отъемной части крыла, сотовых панелей и панелей фюзеляжа Акционерного общества ""Авиастар-СП"", г. Ульяновск""",1384935114.92,69246755.75,15.00%,RUB,2020-10-26 16:20:13,Признана несостоявшейся,44-ФЗ,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=2068700001620000016,Электронный аукцион,FALSE,73,Ульяновская область,АО «Авиастар-СП»,7328032711,,,
2068700001620000015,"Выполнение работ по объекту: ""Реконструкция и техническое перевооружение производства для изготовления деталей отъемной части крыла, сотовых панелей и панелей фюзеляжа Акционерного общества ""Авиастар-СП"", г. Ульяновск""",1384935114.92,69246755.75,15.00%,RUB,2020-09-16 15:37:14,Признана несостоявшейся,44-ФЗ,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=2068700001620000015,Электронный аукцион,FALSE,73,Ульяновская область,АО «Авиастар-СП»,7328032711,,,
2068700001620000012,"Выполнение работ по объекту: ""Реконструкция и техническое перевооружение производства для изготовления деталей отъемной части крыла, сотовых панелей и панелей фюзеляжа Акционерного общества ""Авиастар-СП"" г. Ульяновск""",1384935114.92,69246755.75,30.00%,RUB,2020-07-06 17:43:10,Признана несостоявшейся,44-ФЗ,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=2068700001620000012,Электронный аукцион,FALSE,73,Ульяновская область,АО «Авиастар-СП»,7328032711,,,
1372000000320000004,"Строительство Цех № 12 Корпус ""Д"" (IV-V пролеты)",902336260.00,45116813.00,20.00%,RUB,2020-08-13 8:15:16,Завершена,44-ФЗ,https://zakupki.gov.ru/epz/order/notice/zp504/view/common-info.html?regNumber=1372000000320000004,Запрос предложений в электронной форме,FALSE,78,Санкт-Петербург,АО «Адмиралтейские Верфи»,7839395419,ООО «Интекс»,7806127277,902300000.00
0461000000519000011,"Выполнение строительно-монтажных работ по объекту: ""Реконструкция пассажирского перрона в аэропорту Южно-Сахалинска""",1239380680.00,12393806.80,30.00%,RUB,2019-10-23 9:35:26,Признана несостоявшейся,44-ФЗ,http://zakupki.gov.ru/epz/order/notice/oku504/view/common-info.html?regNumber=0461000000519000011,Конкурс с ограниченным участием в электронной форме,FALSE,65,Сахалинская область,АО «Аэропорт Южно-Сахалинск»,6501255385,,,
2073400001221000002,"Разработка рабочей документации и выполнение работ по объекту капитального строительства: «Реконструкция и техническое перевооружение корпусов 12, 94, 95 для организации серийного производства РН «Ангара», реализуемого на промплощадке «ПО «Полет» - филиала АО «ГКНПЦ им. М.В.Хруничева»",5887861700.40,29439308.50,30.00%,RUB,2021-03-15 19:48:46,Признана несостоявшейся,44-ФЗ,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=2073400001221000002,Электронный аукцион,FALSE,77,Москва,АО «Государственный Космический Научно-Производственный Центр Имени М.В. Хруничева»,7730239877,,,
2073400001220000002,"Разработка рабочей документации и выполнение работ по объекту: «Реконструкция и техническое перевооружение корпусов 12, 94, 95 для организации серийного производства РН «Ангара», реализуемого на промплощадке «ПО «Полет» - филиала АО «ГКНПЦ им. М.В. Хруничева»",5887861700.40,29439308.50,30.00%,RUB,2020-12-29 8:26:24,Признана несостоявшейся,44-ФЗ,https://zakupki.gov.ru/epz/order/notice/oku504/view/common-info.html?regNumber=2073400001220000002,Конкурс с ограниченным участием в электронной форме,FALSE,77,Москва,АО «Государственный Космический Научно-Производственный Центр Имени М.В. Хруничева»,7730239877,,,
2073400001220000001,"Выполнение работ по строительству объекта: ""Реконструкция и техническое перевооружение сборочных производств водородных ступеней и разгонных блоков АО ""ГКНПЦ им. М.В. Хруничева, г. Москва""",4376520210.00,218826010.50,30.00%,RUB,2020-11-18 23:15:44,Признана несостоявшейся,44-ФЗ,https://zakupki.gov.ru/epz/order/notice/oku504/view/common-info.html?regNumber=2073400001220000001,Конкурс с ограниченным участием в электронной форме,FALSE,77,Москва,АО «Государственный Космический Научно-Производственный Центр Имени М.В. Хруничева»,7730239877,,,
0468100000520000015,"Разработка, изготовление и поставка паротурбинной установки",3030400000.00,151520000.00,42.00%,RUB,2020-10-29 13:30:22,Завершена,44-ФЗ,https://zakupki.gov.ru/epz/order/notice/oku504/view/common-info.html?regNumber=0468100000520000015,Конкурс с ограниченным участием в электронной форме,FALSE,73,Ульяновская область,АО «Государственный Научный Центр - НИИ Атомных Реакторов»,7302040242,АО «Группа Машиностроительных Заводов «Химмаш»,7735116075,2989000000.00
0468100000520000007,"Разработка, изготовление и поставка перегрузочного устройства для установки и извлечения из реактора МБИР элементов активной зоны",2264386219.20,113219310.96,50.00%,RUB,2020-10-19 11:30:32,Завершена,44-ФЗ,https://zakupki.gov.ru/epz/order/notice/oku504/view/common-info.html?regNumber=0468100000520000007,Конкурс с ограниченным участием в электронной форме,FALSE,73,Ульяновская область,АО «Государственный Научный Центр - НИИ Атомных Реакторов»,7302040242,АО «Группа Машиностроительных Заводов «Химмаш»,7735116075,1798000000.00
0468100000520000005,"Разработка, изготовление и поставка насоса главного циркуляционного первого контура",1413912000.00,70695600.00,50.00%,RUB,2020-10-19 11:19:05,Признана несостоявшейся,44-ФЗ,https://zakupki.gov.ru/epz/order/notice/oku504/view/common-info.html?regNumber=0468100000520000005,Конкурс с ограниченным участием в электронной форме,FALSE,73,Ульяновская область,АО «Государственный Научный Центр - НИИ Атомных Реакторов»,7302040242,,,
0468100000520000014,"Разработка, изготовление и поставка теплообменника промежуточного",1284030000.00,64201500.00,50.00%,RUB,2020-10-19 12:28:38,Признана несостоявшейся,44-ФЗ,https://zakupki.gov.ru/epz/order/notice/oku504/view/common-info.html?regNumber=0468100000520000014,Конкурс с ограниченным участием в электронной форме,FALSE,73,Ульяновская область,АО «Государственный Научный Центр - НИИ Атомных Реакторов»,7302040242,,,
0420100000620000003,"Выполнение строительно-монтажных работ по объекту «Реконструкция глубоководных набережных №2,3 для обеспечения ремонта ДПЛ, АПЛ третьего и четвертого поколений АО «Дальневосточный завод «Звезда» г. Большой Камень, Приморский край»",5117572148.90,25587860.74,19.54%,RUB,2020-08-10 4:07:47,Признана несостоявшейся,44-ФЗ,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0420100000620000003,Электронный аукцион,FALSE,25,Приморский край,АО «Дальневосточный Завод «Звезда»,2503026908,,,
0420100000620000002,"Выполнение строительно-монтажных работ по объекту «Реконструкция глубоководных набережных №2,3 для обеспечения ремонта ДПЛ, АПЛ третьего и четвертого поколений АО «Дальневосточный завод «Звезда» г. Большой Камень, Приморский край»",5117572148.90,25587860.74,19.00%,RUB,2020-02-07 11:11:22,Признана несостоявшейся,44-ФЗ,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0420100000620000002,Электронный аукцион,FALSE,25,Приморский край,АО «Дальневосточный Завод «Звезда»,2503026908,,,
0420100000621000001,"Выполнение строительно-монтажных работ по объекту «Реконструкция и техническое перевооружение глубоководной набережной №1 АО «Дальневосточный завод «Звезда» г. Большой Камень, Приморский край».",2000000000.00,10000000.00,30.00%,RUB,2021-01-26 8:05:25,Признана несостоявшейся,44-ФЗ,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0420100000621000001,Электронный аукцион,FALSE,25,Приморский край,АО «Дальневосточный Завод «Звезда»,2503026908,,,
2088500000119000005,Выполнение работ по строительству объектов: «ВЛ 220 кВ Омсукчан – ПП - Песчанка»,17363525265.58,86817626.33,10.00%,RUB,2019-10-16 10:14:01,Признана несостоявшейся,44-ФЗ,http://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=2088500000119000005,Электронный аукцион,FALSE,87,Чукотский АО,АО «Дальэнергомост»,8709907700,,,
0472200002119000003,Строительство объекта «Транспортная развязка автомобильной дороги «Западный скоростной диаметр» на пересечении с Шуваловским проспектом с сетями инженерно-технического обеспечения»,4075404197.00,203770209.85,30.00%,RUB,2019-10-18 17:54:17,Признана несостоявшейся,44-ФЗ,http://zakupki.gov.ru/epz/order/notice/oku504/view/common-info.html?regNumber=0472200002119000003,Конкурс с ограниченным участием в электронной форме,FALSE,78,Санкт-Петербург,АО «Западный Скоростной Диаметр»,7825392577,,,
0419100000520000002,"Здания нежилые, не включенные в другие группировки",591424802.66,2957124.01,30.00%,RUB,2020-04-07 7:03:05,Признана несостоявшейся,44-ФЗ,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0419100000520000002,Электронный аукцион,FALSE,24,Красноярский край,АО «Информационные Спутниковые Системы» Имени Академика М.Ф. Решетнёва»,2452034898,,,
1248000000221000007,"Выполнение строительно-монтажных работ по объекту «Реконструкция для создания производства перспективных пиротехнических изделий с использованием безопасных технологий (в целях внедрения технологий №№ 1.2.6.15, 1.2.6.16, 1.2.6.17, 1.3.6.2, 1.3.6.3)», АО «Краснозаводский химический завод» г. Краснозаводск, Московская область. Строительство зданий № 351А, № 562.",574477256.00,28723862.80,20.00%,RUB,2021-03-26 16:33:09,Признана несостоявшейся,44-ФЗ,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=1248000000221000007,Электронный аукцион,FALSE,50,Московская область,АО «Краснозаводский Химический Завод»,5042126251,,,
0800400003420000002,Выполнение работ по строительству объектов: «Строительству транзита 110 кВ Севастопольская-Ялта-Лучистое в двухцепном исполнении (без ПИР). Первый этап строительства: «Реконструкция ПС 110 Заря» (без ПИР); Строительству транзита 110 кВ Севастопольская-Ялта-Лучистое в двухцепном исполнении (без ПИР). Четвертый этап строительства: «Реконструкция ПС 110 Алупка» (без ПИР); «Строительству на ПС 110 кВ Лучистое источников реактивной мощности 25 Мвар» (без ПИР),1914021249.48,95701062.47,30.00%,RUB,2020-11-11 14:22:07,Признана несостоявшейся,44-ФЗ,https://zakupki.gov.ru/epz/order/notice/ok504/view/common-info.html?regNumber=0800400003420000002,Открытый конкурс в электронной форме,FALSE,91,Республика Крым,АО «Крымэнерго»,6621014889,,,
0175200000420000704,"Выполнение работ по объекту капитального строительства: «Развитие аэропортового комплекса «Симферополь», Республика Крым, 3 Этап»",3075089402.64,15375447.01,30.00%,RUB,2020-07-08 10:29:08,Признана несостоявшейся,44-ФЗ,https://zakupki.gov.ru/epz/order/notice/oku504/view/common-info.html?regNumber=0175200000420000704,Конкурс с ограниченным участием в электронной форме,FALSE,91,Республика Крым,АО «Международный Аэропорт «Симферополь»,9102065317,,,
0175200000420000142,"Выполнение работ по объекту: ""Обеспечение защиты объектов аэропортового комплекса аэропорта ""Симферополь"" от актов незаконного вмешательства в его деятельность, Республика Крым""",931961605.21,23299040.13,20.00%,RUB,2020-02-13 16:39:50,Признана несостоявшейся,44-ФЗ,https://zakupki.gov.ru/epz/order/notice/zp504/view/common-info.html?regNumber=0175200000420000142,Запрос предложений в электронной форме,FALSE,91,Республика Крым,АО «Международный Аэропорт «Симферополь»,9102065317,,,
0175200000420000054,"Выполнение работ по объекту: ""Обеспечение защиты объектов аэропортового комплекса аэропорта ""Симферополь"" от актов незаконного вмешательства в его деятельность, Республика Крым""",931961605.21,23299040.13,20.00%,RUB,2020-01-30 16:56:33,Признана несостоявшейся,44-ФЗ,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0175200000420000054,Электронный аукцион,FALSE,91,Республика Крым,АО «Международный Аэропорт «Симферополь»,9102065317,,,
0175200000419000766,"Выполнение работ по объекту: ""Обеспечение защиты объектов аэропортового комплекса аэропорта ""Симферополь"" от актов незаконного вмешательства в его деятельность, Республика Крым""",931961605.21,23299040.13,20.00%,RUB,2019-12-16 11:41:23,Признана несостоявшейся,44-ФЗ,https://zakupki.gov.ru/epz/order/notice/zp504/view/common-info.html?regNumber=0175200000419000766,Запрос предложений в электронной форме,FALSE,91,Республика Крым,АО «Международный Аэропорт «Симферополь»,9102065317,,,
2062700003019000001,"Выполнение работ по реконструкции и техническому перевооружению в рамках развития оборонно-промышленного комплекса Российской Федерации по проекту «Федеральное государственное унитарное предприятие «Научно-исследовательский институт машиностроения», г. Нижняя Салда, Свердловская область – реконструкция и техническое перевооружение производства двигателей малой тяги и двигательных установок на их основе»",1944578551.00,97228927.55,30.00%,RUB,2019-10-29 14:45:30,Завершена,44-ФЗ,http://zakupki.gov.ru/epz/order/notice/za44/view/common-info.html?regNumber=2062700003019000001,Закрытый аукцион,FALSE,66,Свердловская область,АО «НИИ Машиностроения»,6623125489,,,
0572100001920000001,"Выполнение работ по разработке технической документации, изготовлению и поставке комплекса основного технологического оборудования стенда по испытаниям технологий и оборудования для средне- и крупнотоннажного производства сжиженного природного газа.",552000000.00,5520000.00,50.00%,RUB,2020-03-20 17:24:16,Признана несостоявшейся,44-ФЗ,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0572100001920000001,Электронный аукцион,FALSE,78,Санкт-Петербург,АО «Нииэфа Им. Д.В. Ефремова»,7817331468,,,
2048400000319000029,"Выполнение строительно-монтажных работ по объекту: «Реконструкция и техническое перевооружение механосборочного производства (корпуса № 3, 6)».",644036265.55,6440362.66,25.00%,RUB,2019-11-08 19:19:21,Признана несостоявшейся,44-ФЗ,http://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=2048400000319000029,Электронный аукцион,FALSE,50,Московская область,АО «НПО Им. С.А.Лавочкина»,5047196566,,,
0448000001619000001,Реконструкция и техническое перевооружение испытательной базы двигателя РД 191,4243305089.93,63649576.35,33.50%,RUB,2019-11-01 16:48:27,Признана несостоявшейся,44-ФЗ,https://zakupki.gov.ru/epz/order/notice/oku504/view/common-info.html?regNumber=0448000001619000001,Конкурс с ограниченным участием в электронной форме,FALSE,50,Московская область,АО «НПО Энергомаш Имени Академика В.П.Глушко»,5047008220,,,
2042700000921000001,Выполнение работ по строительству объекта: «Здания и сооружения производственно-логистического центра на территории особой экономической зоны промышленно-производственного типа на территории муниципального района Ставропольский Самарской области»,766518907.81,38325945.39,30.00%,RUB,2021-02-20 9:15:53,Признана несостоявшейся,44-ФЗ,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=2042700000921000001,Электронный аукцион,FALSE,63,Самарская область,АО «Особая Экономическая Зона Промышленно-Производственного Типа «Тольятти»,6321345424,,,
2042700000920000004,Выполнение работ по строительству объекта : «Здания и сооружения производственно-логистического центра на территории особой экономической зоны промышленно-производственного типа на территории муниципального района Ставропольский Самарской области»,685208474.21,34260423.71,30.00%,RUB,2020-09-28 14:58:43,Признана несостоявшейся,44-ФЗ,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=2042700000920000004,Электронный аукцион,FALSE,63,Самарская область,АО «Особая Экономическая Зона Промышленно-Производственного Типа «Тольятти»,6321345424,,,
2042700000921000003,"Выполнение работ по строительству объекта: «Здания и сооружения промышленно-производственного комплекса», 2-го этапа строительства на территории особой экономической зоны промышленно-производственного типа на территории городского округа Тольятти Самарской области»",636255522.07,31812776.10,15.00%,RUB,2021-03-16 14:29:20,Признана несостоявшейся,44-ФЗ,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=2042700000921000003,Электронный аукцион,FALSE,63,Самарская область,АО «Особая Экономическая Зона Промышленно-Производственного Типа «Тольятти»,6321345424,,,
0653100000120000001,"Выполнение комплекса работ по реализации проекта: «Реконструкция и техническое перевооружение сборочно-испытательного производства «Реконструкция и техническое перевооружение сборочно-испытательного производства Акционерного общества «Производственное объединение «Стрела», г. Оренбург, Акционерное общество «Производственное объединение «Стрела», г. Оренбург, Оренбургская область»",1206671479.80,6033357.40,50.00%,RUB,2020-04-02 11:50:12,Завершена,44-ФЗ,https://zakupki.gov.ru/epz/order/notice/za44/view/common-info.html?regNumber=0653100000120000001,Закрытый аукцион,FALSE,56,Оренбургская область,АО «Производственное Объединение «Стрела»,5609061432,,,
2001000000120000001,"Выполнение строительно-монтажных и пусконаладочных работ по проекту ""Реконструкция производства НДМГ на Химическом заводе ОАО ""Газпром нефтехим Салават""",1909219000.00,19092190.00,10.00%,RUB,2020-03-17 18:53:50,Завершена,44-ФЗ,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=2001000000120000001,Электронный аукцион,FALSE,02,Республика Башкортостан,АО «Салаватский Химический Завод»,0266036534,ООО «Дортрансстрой»,0274068674,1880580715.00
2001000000119000001,"Выполнение строительно-монтажных и пусконаладочных работ по проекту ""Реконструкция производства НДМГ на Химическом заводе ОАО ""Газпром нефтехим Салават""",1909219000.00,19092190.00,10.00%,RUB,2019-12-31 14:41:19,Признана несостоявшейся,44-ФЗ,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=2001000000119000001,Электронный аукцион,FALSE,02,Республика Башкортостан,АО «Салаватский Химический Завод»,0266036534,,,
